Formulation,Ionizable_Lipid_Mol_Ratio,Phospholipid_Mol_Ratio,Cholesterol_Mol_Ratio,PEG_Lipid_Mol_Ratio,Helper_lipid_ID,Ionizable_Lipid_to_mRNA_weight_ratio,Dose/Cells
Liu_iphos,25,30,30,1,MDOA,10.92521231,54.626061549999996
Liu_iphos,25,30,30,1,MDOA,11.42298878,57.1149439
Liu_iphos,25,30,30,1,MDOA,11.92076525,59.603826250000004
Liu_iphos,25,30,30,1,MDOA,12.41854172,62.0927086
Liu_iphos,25,30,30,1,MDOA,12.91631819,64.58159095
Liu_iphos,25,30,30,1,MDOA,13.41409466,67.0704733
Liu_iphos,25,30,30,1,MDOA,13.91187113,69.55935565
Liu_iphos,25,30,30,1,MDOA,14.4096476,72.048238
Liu_iphos,25,30,30,1,MDOA,14.90742407,74.53712035
Liu_iphos,25,30,30,1,MDOA,9.911419035,49.557095175
Liu_iphos,25,30,30,1,MDOA,10.40919551,52.04597755
Liu_iphos,25,30,30,1,MDOA,10.90697198,54.5348599
Liu_iphos,25,30,30,1,MDOA,11.40474845,57.02374225
Liu_iphos,25,30,30,1,MDOA,11.90252492,59.512624599999995
Liu_iphos,25,30,30,1,MDOA,12.40030139,62.00150694999999
Liu_iphos,25,30,30,1,MDOA,12.89807786,64.4903893
Liu_iphos,25,30,30,1,MDOA,13.39585433,66.97927165
Liu_iphos,25,30,30,1,MDOA,13.8936308,69.468154
Liu_iphos,25,30,30,1,MDOA,14.39140727,71.95703635
Liu_iphos,25,30,30,1,MDOA,14.88918374,74.4459187
Liu_iphos,25,30,30,1,MDOA,15.38696021,76.93480105
Liu_iphos,25,30,30,1,MDOA,15.88473668,79.4236834
Liu_iphos,25,30,30,1,MDOA,8.951637014,44.758185069999996
Liu_iphos,25,30,30,1,MDOA,9.449413484,47.24706742000001
Liu_iphos,25,30,30,1,MDOA,9.947189954,49.735949770000005
Liu_iphos,25,30,30,1,MDOA,10.44496642,52.2248321
Liu_iphos,25,30,30,1,MDOA,10.94274289,54.71371445
Liu_iphos,25,30,30,1,MDOA,11.44051936,57.202596799999995
Liu_iphos,25,30,30,1,MDOA,11.93829584,59.6914792
Liu_iphos,25,30,30,1,MDOA,12.43607231,62.18036155
Liu_iphos,25,30,30,1,MDOA,12.93384878,64.6692439
Liu_iphos,25,30,30,1,MDOA,13.43162525,67.15812625
Liu_iphos,25,30,30,1,MDOA,13.92940172,69.64700859999999
Liu_iphos,25,30,30,1,MDOA,14.42717819,72.13589095
Liu_iphos,25,30,30,1,MDOA,14.92495466,74.6247733
Liu_iphos,25,30,30,1,MDOA,9.947189954,49.735949770000005
Liu_iphos,25,30,30,1,MDOA,10.44496642,52.2248321
Liu_iphos,25,30,30,1,MDOA,10.94274289,54.71371445
Liu_iphos,25,30,30,1,MDOA,11.44051936,57.202596799999995
Liu_iphos,25,30,30,1,MDOA,11.93829584,59.6914792
