Formulation,Cationic_Lipid_Mol_Ratio,Phospholipid_Mol_Ratio,Cholesterol_Mol_Ratio,PEG_Lipid_Mol_Ratio,Helper_lipid_ID,Cationic_Lipid_to_mRNA_weight_ratio,Dosage,Comment,Lipid_name,Num_tails,Num_carbon_in_tail,MolWt,Experiment_ID,Purity,Mix_type,Cargo_type,Experimenter_ID,Model_type,Exposure_time,Delivery_target,Route_of_administration,Experiment_weight,Library_ID,Goal,Batch_or_individual_or_barcoded,Value_name,screen_id,identifier,Mol,Num tails
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,10.19245476,25.0,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2723",2A9V-4T,2.0,6.0,,Lee_unsat,Pure,Hand,mRNA,slee,IGROV1,24,FFL,in_vitro,1.0,Lee_unsat_dendrimer,max,Individual,Cell_viability,Lee_unsat,,703.021,
Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,10.0,Tox,8-a3-9b2,3.0,7.0,731.116,Xue_CAD_LNP,Pure,Microfluidic,mRNA,lxue,HeLa,24,FLL,in_vitro,1.0,Xue_CAD_LNP,max,Barcoded,Cell_viability,Xue_CAD_LNP,,,
Han_a3,40.0,19.856854838709683,38.20897452476401,1.7728200000000005,DOPE,10.0,15.0,,C13-2,2.0,13.0,590.9400000000002,Han_a3,Crude,Hand,mRNA,Han,HepG2,24,FFL,in_vitro,1.0,Han_a3,max,Individual,Cell_viability,Han_a3,,,
Han_a3,40.0,14.84217069892474,28.559614638562024,1.3251090000000008,DOPE,10.0,15.0,,B2-2,2.0,12.0,441.70300000000026,Han_a3,Crude,Hand,mRNA,Han,HepG2,24,FFL,in_vitro,1.0,Han_a3,max,Individual,Cell_viability,Han_a3,,,
Han_amidine,17.3,12.5,24.2,1.0,DOPE,10.0,15.0,Computed with aid lipid molwt as 865,10T-O16,2.0,16.0,584.952,Han_amidine,Crude,Microfluidic,mRNA,Han,HepG2,24,FFL,in_vitro,1.0,Han_amidine,max,Individual,Cell_viability,Han_amidine,,,
Han_a3,22.521674709168465,20.78763440860215,40.0,1.8559199999999996,DOPE,10.0,15.0,,C28-4,4.0,13.0,1098.7459999999992,Han_a3,Crude,Hand,mRNA,Han,HepG2,24,FFL,in_vitro,1.0,Han_a3,max,Individual,Cell_viability,Han_a3,,,
Han_amidine,17.3,12.5,24.2,1.0,DOPE,10.0,15.0,Computed with aid lipid molwt as 865,14T-O14,2.0,14.0,604.9860000000001,Han_amidine,Crude,Microfluidic,mRNA,Han,HepG2,24,FFL,in_vitro,1.0,Han_amidine,max,Individual,Cell_viability,Han_amidine,,,
Han_amidine,17.3,12.5,24.2,1.0,DOPE,10.0,15.0,Computed with aid lipid molwt as 865,5T-O9,2.0,9.0,568.9970000000002,Han_amidine,Crude,Microfluidic,mRNA,Han,HepG2,24,FFL,in_vitro,1.0,Han_amidine,max,Individual,Cell_viability,Han_amidine,,,
Han_amidine,17.3,12.5,24.2,1.0,DOPE,10.0,15.0,Computed with aid lipid molwt as 865,9T-O16,2.0,16.0,639.1319999999998,Han_amidine,Crude,Microfluidic,mRNA,Han,HepG2,24,FFL,in_vitro,1.0,Han_amidine,max,Individual,Cell_viability,Han_amidine,,,
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,10.19245476,25.0,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2758",2A9V-2T,2.0,6.0,,Lee_unsat,Pure,Hand,mRNA,slee,IGROV1,24,FFL,in_vitro,1.0,Lee_unsat_dendrimer,max,Individual,Cell_viability,Lee_unsat,,703.021,
