Ionizable_Lipid_Mol_Ratio,Phospholipid_Mol_Ratio,Cholesterol_Mol_Ratio,PEG_Lipid_Mol_Ratio,Ionizable_Lipid_to_mRNA_weight_ratio,Lipid/Cells,Num_tails,Num_carbon_in_tail,MolWt,Helper_lipid_ID_DOPE,Helper_lipid_ID_DSPC,Helper_lipid_ID_MDOA,Cargo_type_mRNA,Cargo_type_siRNA,Model_type_A549,Model_type_HeLa,Model_type_HepG2,Model_type_IGROV1,Model_type_MDA_MB
25.0,30.0,30.0,1.0,12.68496054,4.165498694057993,2.0,10.0,6.576362320957521,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
17.3,12.5,24.2,1.0,10.0,3.4339872044851463,2.0,14.0,6.46167440508711,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
25.0,30.0,30.0,1.0,14.81453678,4.318456762910658,3.0,8.0,6.732152301901144,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
25.0,30.0,30.0,1.0,8.974047069,3.825816439291362,4.0,14.0,6.230034497317393,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
40.0,16.221639784946248,31.21401784559682,1.4482680000000012,10.0,3.4339872044851463,2.0,12.0,6.181580647367849,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
35.0,16.0,46.5,2.5,10.0,3.044522437723423,3.0,5.0,6.429558174707874,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
35.0,16.0,46.5,2.5,10.0,3.044522437723423,2.0,5.0,6.108465054446707,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
46.3,9.4,42.7,1.6,31.720734543190137,5.54034499143875,10.0,12.0,7.746753650840125,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
40.0,15.851108870967751,30.501034527350345,1.4151870000000009,10.0,3.4339872044851463,2.0,12.0,6.158522285610627,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
25.0,30.0,30.0,1.0,10.42743584,3.97287685649896,2.0,7.0,6.357261508646128,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
25.0,30.0,30.0,1.0,11.20916172,4.043854604722172,2.0,7.0,6.453229645160151,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
25.0,30.0,30.0,1.0,14.69847648,4.310696870493231,4.0,13.0,6.7219002869519935,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
6.5,1.0,26.6,24.2,7.447341269841275,3.251322526876012,8.0,12.0,7.6330806437393965,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
